code,area
19204,16898091.898023777
19205,99571799.21623579
19206,14880480.55869924
19207,81072106.06436107
19208,59021089.9135034
19209,326513183.5354308
19210,37217052.55780621
19211,102439461.35577069
19212,9844038.009878619
19213,78992938.94379285
19214,16341446.149462335
19346,33907154.878629915
19365,19882792.354571614
19366,15664068.11177297
19368,27495956.175234504
19384,7183198.657484763
19422,268929.5552654179
19423,10140114.24134852
19424,13477059.421257343
19425,3439640.4932737947
19429,15407183.715192482
19430,9508235.386698296
20201,123856647.44252267
20202,250202220.63638866
20203,80617700.41427435
20204,480406.94285578193
20205,143065319.25537187
20206,832556.1942332516
20207,1195319.6820253383
20208,65142139.14486329
20209,69423861.17031208
20210,10408001.785814747
20211,1429242.4278868597
20212,51350123.49925075
20213,24216439.70470822
20214,23896676.83885974
20215,35186802.475702144
20217,274509823.5090464
20218,33055891.386600982
20219,60272217.804844335
20220,123006054.26894833
20303,78057883.48380725
20304,60655601.48032339
20305,37808954.31596489
20306,56947318.69375006
20307,41517033.404865906
20309,99901263.0703173
20321,83951458.47733536
20323,28086617.005620338
20324,60043541.45335704
20349,3467277.825505735
20350,96260489.10681622
20361,142821.83521488123
20362,61732399.25551636
20363,11825877.483252533
20382,19459986.164037764
20383,29478576.544823147
20384,15724198.057538422
20385,24920286.111364234
20386,42095287.581615865
20388,8026304.499791228
20402,60106621.26999354
20403,24370952.58944334
20404,85142686.08606993
20407,142154703.529844
20409,43996417.28678266
20410,87851156.55783059
20411,32784846.135390855
20412,42583383.92327394
20413,23566628.196401414
20414,57561709.63605785
20415,54560494.7188555
20416,62036611.132772096
20417,17020688.957326084
20422,2078598.1921575854
20423,19002823.342470307
20425,46268806.479087405
20429,41988422.582698956
20430,20737685.800163582
20432,129099770.33912055
20446,3005098.312415491
20448,8460398.913958447
20450,11554967.236835167
20451,902737.2392377573
20452,3669535.313621228
20481,13344616.994433181
20482,16062525.680797048
20485,13061639.641052859
20486,66426.98311190923
20521,6999711.848895016
20541,13412.976215869689
20543,17704058.27117541
20561,20672679.19622258
20562,8547626.239807688
20563,4270875.9337250125
20583,59646990.05913782
20588,49875916.4807563
20590,34802739.40428723
20602,55252991.44279399
21201,22081739.606703106
21202,16834504.981762018
21203,191155258.9969807
21204,10197251.690262472
21205,38632083.9253567
21206,213955181.62158746
21207,1890916.70219179
21208,42848646.74605982
21209,3333642.75989585
21210,207738297.55278817
21211,20711537.91363989
21212,17583189.314064104
21213,3462371.5193491946
21214,3135721.3740465064
21215,555390.6797560058
21216,2992384.1753564924
21217,168753853.49917
21218,57727521.68873334
21219,37223159.83244399
21220,58036023.740945294
21221,42921855.10739004
21302,15053.779084665894
21303,189655.19910565563
21341,6582555.118962818
21361,9074757.6957407
21362,125580.54577019851
21381,3392937.4404294747
21382,5664721.99075064
21401,44191448.65620663
21403,1749550.3596028155
21404,9975021.26242799
21421,2537973.2638894045
21501,342203.6246375217
21502,1413223.2050463005
21503,4316523.227958959
21504,1188701.5305029307
21505,19987811.73306275
21506,52075537.46046163
21507,38816433.3838734
21521,5752345.253323832
21523,530.5996350783917
21604,14333779.477943031
22101,17741181.469867975
22102,3952519.1434621033
22103,12289610.499989508
22131,10113819.55202134
22132,33277678.11714263
22133,60685810.960286275
22134,36855603.38318619
22135,76590695.19999036
22136,42217886.01303867
22137,40282268.92144717
22203,9448326.190364357
22205,1557148.2928230558
22206,22946318.59991068
22207,79165756.8814135
22208,16206645.096328579
22209,115850365.10923068
22210,12562835.551978353
22211,110812403.60543245
22212,25308781.645256296
22213,109260868.94057989
22214,10319308.343433252
22215,48842378.883014984
22216,60426426.50060088
22219,716337.7530995411
22220,4637388.07391924
22221,20022657.155372575
22222,21737649.6099986
22223,61412399.161357716
22224,89001480.69845438
22225,19155791.916863732
22226,103885297.98849607
22301,393253.8085405544
22302,324447.5534333032
22304,170653.88099056343
22305,1349027.215957531
22306,1899339.5497776237
22325,23685712.684076764
22341,2572769.675158252
22342,10349946.308427833
22344,70952159.26957348
22361,25.22145597566831
22424,14611418.828067066
22429,15561121.00060859
